tb22id,uid,sid,questionID,topID,subtopID,conID,passID,passOrder,choice,isCorrect
39,573,cy55,1021011,1,102,2,102101,01,A,0
40,573,cy55,1021012,1,102,2,102101,01,A,0
41,573,cy55,1021013,1,102,2,102101,01,A,0
42,573,cy55,1021014,1,102,2,102101,01,A,0
43,573,cy55,1021015,1,102,2,102101,01,A,0
44,574,cy100,1011011,1,101,2,101101,01,A,0
45,574,cy100,1011012,1,101,2,101101,01,A,1
46,574,cy100,1011013,1,101,2,101101,01,A,0
47,574,cy100,1011014,1,101,2,101101,01,A,0
48,574,cy100,1011015,1,101,2,101101,01,A,1
49,574,cy100,1023011,1,102,2,102301,01,A,0
50,574,cy100,1023012,1,102,2,102301,01,A,0
51,574,cy100,1023013,1,102,2,102301,01,A,0
52,574,cy100,1023014,1,102,2,102301,01,A,0
53,574,cy100,1023015,1,102,2,102301,01,A,0
54,575,qwe,1012011,1,101,1,101201,01,A,0
55,575,qwe,1012012,1,101,1,101201,01,A,1
56,575,qwe,1012013,1,101,1,101201,01,A,0
57,575,qwe,1012014,1,101,1,101201,01,A,0
58,575,qwe,1012015,1,101,1,101201,01,A,1
